name,est,std
S_arr,0.066811,0.0149
S_arr,0.11038,0.024618
S_arr,0.1732,0.038089
S_arr,0.25817,0.054865
S_arr,0.36553,0.073147
S_arr,0.4916,0.089562
S_arr,0.628,0.099458
S_arr,0.76203,0.097854
S_arr,0.87831,0.080908
S_arr,0.96159,0.047453
S_arr,1,1.4025e-08
S_arr,0.98619,0.047885
S_arr,0.91849,0.10029
S_arr,0.8077,0.20125
S_arr,0.67063,0.32026
S_arr,0.52575,0.41628
S_esp,0.00053406,0.00025007
S_esp,0.0019368,0.00069162
S_esp,0.0062256,0.0016517
S_esp,0.017737,0.0034569
S_esp,0.044789,0.0066419
S_esp,0.10025,0.012542
S_esp,0.19887,0.023352
S_esp,0.34966,0.039535
S_esp,0.54493,0.05609
S_esp,0.75271,0.061816
S_esp,0.92154,0.044443
S_esp,1,1.0115e-08
S_esp,0.99845,0.013826
S_esp,0.98508,0.019148
S_esp,0.96205,0.028548
S_esp,0.93003,0.043083
S_esp,0.88997,0.06184
S_esp,0.843,0.083411
S_esp,0.79041,0.10635
S_esp,0.7336,0.12926
S_esp,0.67397,0.15087
S_esp,0.61291,0.17006
S_esp,0.55174,0.18594
S_esp,0.49163,0.19788
S_cru,6.5091e-07,9.9411e-07
S_cru,2.806e-06,3.6301e-06
S_cru,1.1177e-05,1.2145e-05
S_cru,4.1139e-05,3.7361e-05
S_cru,0.00013991,0.00010647
S_cru,0.00043963,0.00028488
S_cru,0.0012765,0.00072834
S_cru,0.0034246,0.0018037
S_cru,0.0084893,0.004322
S_cru,0.019445,0.0098638
S_cru,0.041154,0.021016
S_cru,0.08048,0.041128
S_cru,0.14542,0.073093
S_cru,0.2428,0.11694
S_cru,0.37457,0.16692
S_cru,0.53393,0.2098
S_cru,0.70324,0.22677
S_cru,0.85585,0.19982
S_cru,0.96241,0.12073
S_cru,1,9.3465e-11
S_cru,0.99821,0.0061233
S_cru,0.99295,0.012725
S_cru,0.98429,0.020179
S_cru,0.97231,0.028727
Farr,0.0078637,0.0015086
Farr,0.13336,0.025829
Farr,0.18245,0.034529
Farr,0.16393,0.031781
Farr,0.19126,0.038408
Farr,0.24372,0.050396
Farr,0.21911,0.046373
Farr,0.18587,0.039482
Farr,0.16723,0.035441
Farr,0.24571,0.051903
Farr,0.25006,0.053497
Farr,0.25713,0.05539
Farr,0.29262,0.064675
Farr,0.24584,0.055885
Farr,0.23557,0.054866
Farr,0.31969,0.07636
Farr,0.21232,0.050771
Farr,0.23612,0.055352
Farr,0.16638,0.039143
Farr,0.1647,0.038094
Farr,0.15527,0.035632
Farr,0.14286,0.032772
Farr,0.16932,0.039246
Farr,0.17087,0.040331
Farr,0.15022,0.036193
Farr,0.15844,0.037846
Farr,0.18347,0.044484
Farr,0.20474,0.048568
Farr,0.19809,0.046129
Farr,0.23546,0.054547
Farr,0.2357,0.054503
Farr,0.23182,0.053843
Farr,0.23397,0.054723
Farr,0.25834,0.060935
Farr,0.22877,0.054313
Farr,0.26879,0.064218
Farr,0.25448,0.060461
Farr,0.16017,0.038008
Farr,0.15152,0.035262
Farr,0.22628,0.05215
Farr,0.20916,0.048854
Farr,0.30924,0.075683
Farr,0.33503,0.088167
Fpal,0.021224,0.0056994
Fpal,0.054129,0.015083
Fpal,0.092946,0.027048
Fpal,0.08833,0.026793
Fpal,0.14139,0.043973
Fpal,0.080156,0.025545
Fpal,0.053109,0.017016
Fpal,0.043293,0.013836
Fpal,0.066251,0.021005
Fpal,0.05408,0.017038
Fpal,0.037333,0.011643
Fpal,0.066006,0.020588
Fpal,0.069107,0.021868
Fpal,0.086674,0.028002
Fpal,0.090373,0.029589
Fpal,0.0929,0.030402
Fpal,0.1066,0.0354
Fpal,0.099365,0.033072
Fpal,0.077411,0.025685
Fpal,0.089547,0.029596
Fpal,0.072712,0.024087
Fpal,0.072073,0.024041
Fpal,0.080176,0.026969
Fpal,0.076015,0.02554
Fpal,0.036931,0.012558
Fpal,0.059733,0.020159
Fpal,0.03801,0.012835
Fpal,0.021507,0.0071734
Fpal,0.021352,0.0069769
Fpal,0.018749,0.0060407
Fpal,0.013,0.004198
Fpal,0.0061674,0.0020193
Fpal,0.0025785,0.00087617
Fesp,0.0013576,0.00017525
